seed,model,t,ref_bin,action,price,true_demand,estimated_demand,true_revenue,estimated_revenue,true_dynamic_q,estimated_dynamic_q
0,structured,0,1,5,1.25,7.412406519066314,4.818033218383789,9.265508148832893,6.022541522979736,380.11936703496684,1458.366075015068
0,structured,0,1,6,1.4,3.643886542084021,2.7041423320770264,5.101441158917629,3.7857992649078365,391.1649794944651,1497.9054883420467
0,structured,0,1,7,1.55,1.754992244482437,1.5177112817764282,2.7202379789477775,2.3524524867534637,389.81761613781725,1496.6857236027718
0,structured,0,1,8,1.7,0.8367478599429592,0.8518213629722595,1.4224713619030307,1.4480963170528411,396.2351292062146,1497.1040494024753
0,structured,0,1,9,1.85,0.39700446155886665,0.47808828949928284,0.7344582538839033,0.8844633355736732,398.38220356208274,1497.0513060286642
0,structured,0,1,10,2.0,0.187925281339413,0.26832905411720276,0.375850562678826,0.5366581082344055,422.2493939500122,1620.7953352093696
0,structured,0,2,0,0.5,80.99984339846871,100.03267669677734,40.499921699234356,50.01633834838867,405.7295040165129,1500.2015740275383
0,structured,0,2,1,0.65,66.81877721681661,56.15813446044922,43.4322051909308,36.502787399292,408.7564000597262,1486.7761099219322
0,structured,0,2,2,0.8,48.75026035157896,31.527067184448242,39.00020828126317,25.221653747558594,409.52097488549566,1477.0569316029548
0,structured,0,2,3,0.95,31.00255188723876,17.699234008789062,29.45242429287682,16.814272308349608,400.1212167230231,1468.7726728558541
0,structured,0,2,4,1.1,17.50862681640398,9.936312675476074,19.259489498044378,10.929943943023682,390.1133483841783,1463.273477435112
0,structured,0,2,5,1.25,9.112296101485615,5.578227519989014,11.390370126857018,6.972784399986267,397.4539084624045,1501.0924734771252
0,structured,0,2,6,1.4,4.521747348328751,3.131605386734009,6.330446287660251,4.384247541427612,393.42782444652977,1498.717518657446
0,structured,0,2,7,1.55,2.188127093613047,1.7580775022506714,3.3915969951002225,2.725020128488541,398.20425483941176,1498.380973213911
0,structured,0,2,8,1.7,1.045670623191808,0.9869805574417114,1.7776400594260735,1.6778669476509094,399.42538536762487,1497.8447096407415
0,structured,0,2,9,1.85,0.49668016500569656,0.554088830947876,0.9188583052605386,1.0250643372535704,409.8458707042241,1619.6110701203345
0,structured,0,2,10,2.0,0.23523155709781457,0.3110644519329071,0.47046311419562914,0.6221289038658142,422.344006501529,1620.880806005001
0,structured,0,3,0,0.5,84.224131298103,115.68336486816406,42.1120656490515,57.84168243408203,407.4362605178469,1508.1150049567223
0,structured,0,3,1,0.65,71.60597938157099,64.96372985839844,46.543886598021146,42.22642440795899,411.86808146681653,1492.4997469305993
0,structured,0,3,2,0.8,54.363868723707874,36.481327056884766,43.4910949789663,29.185061645507815,414.0118615831988,1481.0203395009041
0,structured,0,3,3,0.95,36.00839032622659,20.486631393432617,34.20797080991526,19.462299823760986,404.87676324006156,1471.4207003712654
0,structured,0,3,4,1.1,20.998762657360242,11.504569053649902,23.098638923096267,12.655025959014894,409.16217725864374,1506.7747150361538
0,structured,0,3,5,1.25,11.155054018289638,6.460559844970703,13.943817522862048,8.075699806213379,401.04119568173155,1502.4089709222317
0,structured,0,3,6,1.4,5.598807906182168,3.628024101257324,7.838331068655035,5.0792337417602536,394.9357092275245,1499.4125048577785
0,structured,0,3,7,1.55,2.725195077021607,2.037370204925537,4.224052369383491,3.1579238176345825,399.0367102136951,1498.813876903057
0,structured,0,3,8,1.7,1.3060710529453003,1.1441141366958618,2.2203207900070105,1.944994032382965,399.8680660982058,1498.1118367254735
0,structured,0,3,9,1.85,0.6212253108462714,0.6424944400787354,1.149266825065602,1.1886147141456602,410.0762792240292,1619.7746204972266
0,structured,0,3,10,2.0,0.29441107698671376,0.36080220341682434,0.5888221539734275,0.7216044068336487,427.5405782369661,1622.392649102211
0,structured,0,4,0,0.5,86.98915256370022,134.00526428222656,43.49457628185011,67.00263214111328,408.81877115064555,1517.2759546637535
0,structured,0,4,1,0.65,75.9510916949111,75.30177307128906,49.368209601692215,48.946152496337895,419.88897620592473,1500.7814303517341
